title,degreePlanning,academicAdvising,careerServices,workAndVolunteering,healthAndCounselling,academicToolsAndHelp,library,research,peerToPeer,financialAid,ITServices,applications,studentNetworks,departments,accessMethod,availability,recommended,description,shortDescription,yearMinimum,yearMaximim,source,contact,testimonials
What can I do with a degree?,TRUE,TRUE,TRUE,,,,,,,,,,,ALL,Online,,,"Univeristy  is the time to be curious, open-minded, and watch for clues to help you make an informed decision, one that you are both confident and excited about. So instead of focusing on what you can do with your major, use the resources that follow to discover what is possible. Just how far and wide your degree will take you has more to do with you, the things you do, changes in the world, and the unknown and unplanned events you will encounter.


",Find out what jobs you could do with your degree. How far could it take you?,0,8,http://www.sfu.ca/career/WCID.html,,
Center for Accessible Learning,,,,,TRUE,TRUE,,,,,TRUE,,,ALL,Online/ In person,,,Check out the Centre for Accessible Learning (CAL) (formerly: the Centre for Students with Disabilities) for a wide array of information and services to support your success as a student.,Provides skills to enhance student growth to students with disabilities.,0,8,http://www.sfu.ca/students/accessible-learning.html,,
Co-Operative Education HSCI,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,HS,Online,,TRUE,"Undergraduate Health Science students have access to numerous Co-operative education oppurtunities, where they can get hands on experience. Remeber  the best time to start applying to Co-op is at the beggining of your second year",Health Science Co-operative page.,0,3,https://www.sfu.ca/coop/programs/hsci/,"Isabella Silvestre
Coordinator
778-782-7632
isilvest@sfu.ca
Blusson Hall 10712",It allowed me to experience different job positions that might be available after I graduate. It was fun and informative experience for me.
Co-Operative Engineering Science,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,ENSC,Online,,,Our Schools' co-operative education program combines relevant job experience with classroom studies.,Engineering Science Co-operative page.,0,3,http://www.sfu.ca/coop/programs/eng/faq.html,,
Peer Tutoring Computing Science,,,,,,,,,TRUE,,,,,CS,In Person,,,"Where should I go to see a CS Peer Tutor? CSIL ASB 9820 (see map below).
When can I see a CS Peer Tutor? Monday to Friday, 10:30am to 4:30pm (see schedule below).
Do I need to make an appointment? No need! You can just drop in anytime (see schedule below",Go see or become a Computer Science peer tutor.,0,2,https://www.sfu.ca/computing/current-students/undergraduate-students/student-resources/cs_peer_tutoring.html,,
CSIL Windows Course Software,,,,,,TRUE,,,,,TRUE,TRUE,,ALL,Online,,TRUE,"This link has all the course softwares every class would use. It has download links to most of the applications. Includes Microsoft Office, WinRAR, Python, and many more.",Link to all downloadable applications a student would need for their classes.,0,4,https://www.sfu.ca/computing/about/support/csil/windows/software.html,,Free educational software has been a big help for me. It helps me complete assignments as well as projects that I have.
Software Downloads & Licences,,,,,,TRUE,,,,,TRUE,TRUE,,ALL,Online,,TRUE,Need to find the right tool for your project? Try looking in one of these comprehensive directories. There are multiple softwares and licenses that are available to SFU students,Link to all Software devices and licenses available for SFU students. ,0,0,"https://www.sfu.ca/itservices/technical/software.html

https://www.lib.sfu.ca/help/publish/dh/dhil/resources#tools-used-in-the-dhil 
",,"I am glad SFU is able to provide Microsoft Office Subscriptions for free, it is an essential tool for efficient leanring."
Develop your Career,,,TRUE,TRUE,,,,,,,,,,BUS,Online/ In Person,,,"The Career Management Centre will help students strategize and build their career. The programs, resources, and a networking opportunities will set students up for professional success. Types of advising include: Career exploration specific to your concentration, comprehensive resume/cover letter review, job search strategies, managing your online presence, networking tips, mock interviews and interview tips, salary negotiation, familiarization with additional resources, and resources and information on industry/abour market",Help build skills for your carreer post university.,0,4,https://beedie.sfu.ca/resources/undergraduates/develop-your-career,Book advising appointments through Beedie Community. Drop- in advising is from Monday - Thursday: 1PM to 4PM. Contact bbacareers@sfu.ca if there are any questions,
Financial Aid Information,,,,,,,,,,TRUE,,,,ALL,Online,,,"Learn about the Scholarships, Awards, Bursaries, Work-Study program, and Loans available to Undergraduate students.","Book apoitments in person for information about the Scholarships, Awards, Bursaries, Work-Study program, and Loans available to Undergraduate students.",0,4,http://www.sfu.ca/students/financialaid.html,,
Financial Support,,,,,,,,,,TRUE,,,,ALL,In Person,,,"More information on where students can get scholarships, bursaries, open scholarship, awards, loans, and service awards. ","Online information about the Scholarships, Awards, Bursaries, Work-Study program, and Loans available to Undergraduate students.",,,http://www.sfu.ca/students/financialaid/undergrad.html,,
Global Community @ SFU,,,,,,,,,TRUE,,,,TRUE,ALL,Online/ In Person,,,"Program that builds a supportive community. Gives them the opportunity to learn about the culture of SFU and Canada, meet new friends, and explore the community ","Program focused to international students. Learn about the Canadian culture and what the community provides, while makling new friends.",0,4,https://www.sfu.ca/students/intercultural-engagement/globalcommunity.html,,
TA Booking & Office Hours,,,,,,TRUE,,,TRUE,,,,,ALL,Online,,,Book rooms with a TA or a group around campas. This includes the ability to book CSIL rooms.,Book rooms online with a TA around campas.,,,https://booking.cs.sfu.ca/tabooking//,,
Health & Counselling Services,,,,,TRUE,,,,,,,,,ALL,In Person,,TRUE,"When it all feels overwhelming, it’s important to know that you don’t have to go it alone. SFU Health & Counselling has a team of dedicated mental health professionals to get you back on track.",A team of dedicated mental health professionals to get you back on track.,0,0,http://www.sfu.ca/students/health.html,,"Although I haven't used this service, I know it's there if I ever need it. The Health & Counselling Resources are readily available and promoted through emails, social media, and even poster boards. It is great that SFU's Health & Counselling Services are promoted to students and even faculty, and it's awesome that SFU is openly providing information to better overall health. Mental health is health!"
Health and Conselling Resources,,,,,TRUE,TRUE,,,TRUE,,,TRUE,,ALL,Online,,,"Provides the following health and counselling resources for SFU Students:

Media Library:  offers free audio/video recordings of guided meditation, relaxation, yoga. 

Wellness wheel: Learn to maintain a balance between the many different aspects of your life

Drugs and Alcohol: Learn more about how substance use impacts your body and know how to spot signs of an overdose

Critical Incident Support: Explains how to effectively deal with the aftermath of a critical incident, such as death of a loved one, bad accident, situation involving violence, and more 

Bouncing Forward: Free, non-credit canvas course to learn strategies to build your resilience, how to identify and access resources, and improve your well- being 

My SSP- provides SFU students access to free 24/7 counselling and mental health support reachable from anywhere around the world either by phone or through the app 
",Multiple Health science resources that gain help strengthen mental strength.,0,4,https://www.sfu.ca/students/health/resources.html,,
Health Peers,,,,,TRUE,,,,TRUE,,,,,ALL,Online/In Person,,,"Supports student health and well-being on campus and are trained to share health education and outreach on topics such as: sexual health, responsible partying, social connectedness, stress managemnt, healthy eating, active living, healthy settings, positive body image. They also have workshops and events such as Fit mix that is a free fitness beginners class that runs every week and community cooking workshops that are free lessions on easy and nutritious recipes for healthy eating ",Health support provided by students. ,0,4,https://www.sfu.ca/students/health/support/student-involvement/health-peers.html,,
High School Ambassador Program,,,TRUE,TRUE,,,,,TRUE,,,,TRUE,CS ENSC,In Person,,,"High School Ambassadors are paid positions that represent the Faculty of Applied Sciences in recruitment and diversity initiatives. As an employee in this position, you will help inspire diverse prospective students in Gr. 11-12 about Applied Sciences through on campus events, tours, calling campaigns and high school visits.",,1,1,http://www.sfu.ca/fas/current-student/advising/HSAP.html,,
Program checklists for All Programs,TRUE,,,,,TRUE,,,,,,,,ALL,Online,,,View your programs requirements here and save yourself a visit to the academic advisor.,,,,https://www.sfu.ca/students/calendar/2020/summer/academic-programs.html,,
Program Checklist Beedie,TRUE,,,,,TRUE,,,,,,,,BUS,Online,,,Need a program checklist? View the program requirements here and save yourself a visit to the academic advisor.,Create a Business program checklist.,,,https://www.sfu.ca/students/calendar/2020/summer/areas-of-study/business.html,,
Program Checklist Engineering Science,TRUE,,,,,TRUE,,,,,,,,ENSC,Online,,TRUE,Need a program checklist? View the program requirements here and save yourself a visit to the academic advisor.,Create an Engineering program checklist.,,,https://www.sfu.ca/content/dam/sfu/engineering/Undergraduate/4-year-curriculum-schedules/New_Curriculum/ENSC_COMPUTER_1137_Onwards_Planner.pdf,,"I graduated from computer engineering in 5 years with an average of 13 credits a semester. Utilize the resources available to you, and think about your future. An hour of planning can be the difference between surviving and thriving through University."
Program Checklists Health Science,TRUE,,,,,TRUE,,,,,,,,HS,"Download,/Online",,TRUE,Need a program checklist? Download a copy here and save yourself a visit to the academic advisor.,Create a Health Science program checklist.,,4,"http://www.sfu.ca/fhs/undergraduate/current/forms.html

1. BA :   http://www.sfu.ca/content/dam/sfu/fhs/Undergraduate/Current/BA%20Checklist.pdf

2. BSc - PQHS : http://www.sfu.ca/content/dam/sfu/fhs/Undergraduate/Current/Checklist%20-%20BSc%20PQHS%20-%20Summer%202019%20Calendar.pdf

3. BSc- LS : http://www.sfu.ca/content/dam/sfu/fhs/Undergraduate/Current/BSc%20LS%20Checklist.pdf",,"Students go to advisor just to get a copy of the program requirement checklist, when I discovered I could download a copy online it made me very happy. The course checklist allows you to follow along and not miss any requirements."
Program Checklists Computing Science,TRUE,,,,,TRUE,,,,,,,,CS,Online,,,Need a program checklist? View the program requirements here and save yourself a visit to the academic advisor.,Create a Computing Science checklist.,,,https://www.sfu.ca/students/calendar/2020/summer/areas-of-study/computing-science.html,,
CourSys,TRUE,,,,,TRUE,,,,,,,,CS,Online,,,Planning your classes? Use this handy tool to view what courses are being offered.,Coursys is a course planning tool.,,,"https://cas.sfu.ca/cas/login

https://coursys.sfu.ca/browse/#!",,
Projected Course Offerings Computing Science,TRUE,TRUE,,,,,,,,,,,,CS,Online,,,View the Computing Science departments projected Course offerings here. The  purpose  is to act as a guide for general planning of your courses . You are encouraged to check the course plan regularly for updates.,Guides students to plan their Computing Science courses.,,,https://www.sfu.ca/computing/current-students/undergraduate-students/student-resources/course-schedules.html,,
Projected Course Offerings Page Business,TRUE,TRUE,,,,,,,,,,,,BUS,Online,,,The Business department posts the projected course offerings  for upto 3 semesters. The  purpose  is to act as a guide for general planning of your courses . You are encouraged to check the course plan regularly for updates.,Guides students to plan their Business courses.,,,https://beedie.sfu.ca/resources/undergraduates/plan-your-degree/projected-course-offerings,,
Projected Course Offerings Engineering Science,TRUE,TRUE,,,,,,,,,,,,ENSC,Online,,,View the Enginnering Science department proojected  courses here.. The  purpose  is to act as a guide for general planning of your courses . You are encouraged to check the course plan regularly for updates.,Guides students to plan their Engineering courses.,0,0,http://www.sfu.ca/engineering/current-students/undergraduate-students/course-outlines.html,,
Projected Course Offerings Health Science,TRUE,TRUE,,,,,,,,,,,,HS,Online,,TRUE,The Health Sciences department posts the courses offered for upto 5 semesters. The  purpose  is to act as a guide for general planning of your courses . You are encouraged to check the course plan regularly for updates.,Guides students to plan their Health Science courses.,0,4,http://www.sfu.ca/fhs/undergraduate/current/courses/undergraduate-course-offerings.html,,"Many Students don't know this exists, but its a great tool for planning ahead a few semesters and not be surprised that a course isn't being offered in your final semester."
Lecture Recordings,,,,,,,,,,,TRUE,,,ALL,Online,,TRUE,"Lectures given in selected theatres and classroom may be recorded digitally, and are available online for students. Not sure you're going to be interested in a class? Listen to one of their lectures before enrolling.*Please note, not all classes are recorded.",A list of all lecture recordings that SFU teachers released to the students.,0,4,https://www.sfu.ca/itservices/elearning.html,,"1. Lecture recordings, I find them the most useful because through the background noise in lecture I cannot hear the professor clearly, also, it reminds me of certain concepts and helps me understand things I’ve forgotten way better.

2. I find lecture recordings really useful because I’m not always able to go to class, so if I miss something I can listen to the class recording.

3. I use the lecture recordings to go back and hear if I hae missed any information."
LinkedIn Learning,,,,,,TRUE,,,,,TRUE,TRUE,,ALL,Online,,TRUE,"SFU students, recieve free access to LinkIn Learning which is a platform that provides video tutorials on software programs, design practices, and business skills. Was once known as Lynda.com.",Gives tutorials on IT skills for each department.,0,4,"More Information: 
https://www.lib.sfu.ca/find/other-materials/lil-linkedin-learning

https://databases.lib.sfu.ca/record/61245148240003610/LinkedIn-Learning-(LIL)",,"This was so helpful for me. Especially being in my last year at SFU, I have more of an idea of the career trajectory I want to pursue but felt like the required courses did not meet my passions. Accessing this platform allowed me to cater my learning goals and explore topics of interest further."
Living Learning Communities,,,,,,,,,,,,,,ALL,Online,,,"A specific residence (Living-Learning Communities) which are grouped around a particular focus with additional support and programming. Connect students academically and socially while creating space for continued learning, personal growth and strong connections with other students, staff and faculty outside the classroom ",Creates an easier transition to a university student and living on campas.,0,4,https://www.sfu.ca/students/residences/housing-options/living-learning-communities.html,,
Mentor Minutes,,,TRUE,,,TRUE,,,TRUE,,,,,BUS,Online/ In person,,,"Get tips on cultivating a good team dynamic, to the first steps of finding funding–Venture Connection's mentors are here to help YOU. New videos are launched monthly and new topics will be explored, to ensure you start your business off on the right foot.",Tips on becoming better business students from experienced mentors.,0,8,https://www.sfu.ca/io/venture/venture-connection/program-overview/mentor-meet/mentor-minute.html,,
Mentors in Business,,,TRUE,,,,,,,,,,,BUS,In Person,,,"Beedie students, both graduates and undergraduates, connect with individuals from the business community in areas of their career interest in order to make better-informed career choices and expand their understanding of a target industry. The program provides a platform for working professionals to share insights, experiences and knowledge that will inspire and motivate students to embark on their career search. ",6 Month program that develops a bridge from acedemic to real businesses.,0,8,https://beedie.sfu.ca/resources/mentors-in-business,"Login on Beedie Community Account to access registration form 

Please contact our Program Manager

Email: mentorsinbusiness@sfu.ca",
MyExperience Login (Career and Volunteer Services + Co-operative Education),,,TRUE,TRUE,,,,,,,,,,ALL,Online,,,MyExperience is your one stop shop view and register for experiential learning oppurtunities!,"Co-op, Career, and Volunteer opportunities.",0,4,https://www.sfu.ca/wil/myexperience/,,
MyInvolvement Login - Health Science Community Account,,,TRUE,TRUE,,,,,,,,,,HS,Online,,,"MyInvolvement is another portal showcasing on-campus opportunities! Through this portal, you can register for career and leadership development programs; apply for volunteer and paid positions; sign up for campus events and workshops; and access your Co-Curricular Record.",Sign up for volunteer or paid postions around campas.,0,4,https://myinvolvement.sfu.ca/home.htm,,
MySSP Mental Health App,,,,,TRUE,,,,,,,,,ALL,Online,,,"University can be challenging and affect your mental and emotional health. MySSP lets you  book an in-person, phone, or video appointments with registered clinical counsellors. Immediate support or counselling is also available 24/7 by phone or chat.","App that let's you book online, or in-person appointments with mental health counselors.",0,8,http://www.sfu.ca/students/health/support/mental-health/my-ssp.html,,
Volunteering Services,,,TRUE,TRUE,,,,,TRUE,,,,,ALL,In Person,,,Volunteering opportunities for students to get more involved at SFU through myinvolvement and Student Ambassador Program,Sign up for volunteer opportunities.,0,0,http://www.sfu.ca/volunteer/i-want-to-volunteer.html,,
Passport 2 Leadership,,,,,,TRUE,,,,,,,,ALL,Online/ In person,,,"Passport to Leadership 1& 2 (P2L 1 &2) is a series of interactive workshops that focuses on developing and understanding the multiple facets of leadership, equipping participants with a broad range of foundational leadership skills through discussions and the completion of online exercises.

Students who successfully fulfill the requirements of the workshop series will receive official recognition on their Co-Curricular Record& ",Program to enhance students leadership skills.,0,4,http://www.sfu.ca/students/get-involved/programs-and-opportunities/passport-to-leadership-1.html,,"""...everybody left that last session feeling like they had leadership potential. Seeing everyone so inspired was definitely a wonderful thing to witness.""

""Awesome program. Gives you a small taste of what leadership can be like at the post secondary level. Definitely a stepping stone to more intensive programs provided at SFU.""

""I enjoyed the program thoroughly. It provided me with insight into myself both professional and personally. I really enjoyed the speakers we had and they were all very charismatic and professional. They made our weekly session a safe place for ideas and different opinions.""
"
Peer Mentorship Program,,,,,,TRUE,,,TRUE,,,,,HS,Online/ In person,,TRUE,"The FHS Peer Mentorship Program is a faculty-specific, peer mentoring group open to all undergraduate students. Our goal is to strengthen the FHS community by connecting incoming first year and senior Health Sciences students to create a welcoming environment for all. 

The FHS Peer Mentorship program allows you to become a mentor or receive mentorship yourself!",Matching upper level Heath Science students with first year students.,0,4,https://fhspeer.weebly.com/,email for more info:  fhspeer@sfu.ca,
SFU Apps,,,,,TRUE,TRUE,,,TRUE,,,,,ALL,Online,,TRUE,SFU apps that all students should have during their time at SFU.,A collection  of apps provided by SFU.,0,4,http://www.sfu.ca/apps.html,,"SFU apps allowed me to locate a classroom or lab that I need to go to. It also helped me to remember by schedule.
"
SFU Beedie Writing Mentors,,,,,,TRUE,,,TRUE,,,,,BUS,In Person,,,"Beedie undergraduate students have the opportunity to recieve free, one-on-one mentorship from a trained writing expert. Students can book a 60-minute session online once a week. Alternately, they are able to see mentors for 30-minute drop-in sessions, which are available on a first come, first serves basis but can be excerised multiple times in a week. Students will have to come prepared, with most of their assignment completed and specific questions or requests based on the assignment or on their writing skills. ",One-on-one mentorship with writing experts.,0,4,https://beedie.sfu.ca/resources/undergraduates/writing-mentors,Register at Beedie Community: https://beediecommunity.sfu.ca/home.htm,
Student Learning Commons,,,,,,TRUE,,,TRUE,,,,,ALL,,,TRUE,"This resouce offers students free one-on-one consultations to improve all around skills for students. The skills they help with are time management, exam preparation, note-taking, writing and presention skills. This resource also helps students write more effective resumes for Co-op.",Free one-on-one consultations to improve all around skills for students.,0,4,"https://www.lib.sfu.ca/about/branches-depts/slc

Downloadable Material: 

Handouts from the SFU Student Learning Commons and other material

Concentration (pdf):http://www.sfu.ca/content/dam/sfu/computing/Undergraduate_students/AEP-files/Concentration.pdf

ExamAnxiety (pdf): http://www.sfu.ca/content/dam/sfu/computing/Undergraduate_students/AEP-files/ExamAnxiety.pdf

ExamPreparation (pdf): http://www.sfu.ca/content/dam/sfu/computing/Undergraduate_students/AEP-files/ExamPreparation.pdf

NoteTaking (pdf):http://www.sfu.ca/content/dam/sfu/computing/Undergraduate_students/AEP-files/NoteTaking.pdf

Motivation (pdf): http://www.sfu.ca/content/dam/sfu/computing/Undergraduate_students/AEP-files/Motivation.pdf

TimeManagement (pdf): http://www.sfu.ca/content/dam/sfu/computing/Undergraduate_students/AEP-files/TimeManagement.pdf

ProblemSolving (pdf): http://www.sfu.ca/content/dam/sfu/computing/Undergraduate_students/AEP-files/ProblemSolving.pdf

Procrastination (pdf): http://www.sfu.ca/content/dam/sfu/computing/Undergraduate_students/AEP-files/Procrastination.pdf

Reading for University (pdf)http://www.sfu.ca/content/dam/sfu/computing/Undergraduate_students/AEP-files/ReadingforUniversity.pdf",,"The writing center at the Student Learning Commons is great, If you have questions about quality of your work they can help a lot."
Student Temporary Pool,,,TRUE,TRUE,,,,,,TRUE,,,,ALL,Online/In Person,,,SFU's Student Temporary Pool provides employment opportunities for qualified SFU students registered in credit courses in the semester of employment. Students working through the Student Temporary Pool play a significant role in fulfilling the temporary staffing needs at the University's three campuses.,Employement opportunities for students resistered in courses.,0,4,"https://www.sfu.ca/human-resources/prospective-employees/temporary-support/student-temporary-pool.html

https://trr.tbe.taleo.net/trr01/ats/careers/v2/jobSearch?org=SIMOFRAS&cws=37",,
Survey Monkey,,,,,,TRUE,,,,,TRUE,TRUE,,ALL,Online,,,"SFU is offering access to SurveyMonkey, a full-featured web survey tool with a wide variety of question types and reporting. This service is provided to support surveys for University-related teaching, learning, research, and administrative purposes.",Get premium surveying tool for free.,0,8,https://www.sfu.ca/itservices/publishing/surveys.html,,
Teaching Assistant Opportunities,,,,TRUE,,,,,,TRUE,,,,BUS,Online,,,"Opportunities for qualified graduate and undergraduate students to apply for Teaching Assistant, Teaching Assistant/Marker, Open Lab Assistant, and Marker positions (abbreviated as ""TA"" on the rest of this page). Students must re-apply and be selected for TA positions each term.",Apply for to become a Teaching Assistant (TA),3,8,https://beedie.sfu.ca/resources/teaching-assistant-opportunities,,
Techconnect,,,,,,TRUE,,,TRUE,,,,TRUE,AS,In Person,,TRUE,"TechConnect is a Faculty of Applied Sciences (FAS) cohort mentorship program designed to help you transition from high school to University. FAS advisors take care of your course registration for the first semester. The TechConnect cohort will be registered in the same lectures, labs, and tutorials. In addition to attending the same classes, you will also attend TechConnect meetings together which happen twice per month and are led by two student mentors. These meetings will give you the opportunity to participate in specialized workshops, advising sessions, and social activities. ",,1,1,http://www.sfu.ca/fas/current-student/advising/TechConnect.html,,TechConnect allowed me to make connections in my first semester at sfu that I probably wouldn’t have otherwise made. I made friends that I am still friends with today and made a connection with one of the academic advisors which made it less intimidating to go talk to them.
Tips for First Year Students,,TRUE,,,,TRUE,,,,,,,,AS,Online,,,Tip for First Year Students when choosing electives in Applied Science,A list of tips for first year Applied Science students.,1,1,http://www.sfu.ca/fas/current-student/resources/tips-for-first-years.html,,
University prep and SFU 101,,TRUE,,,,TRUE,,,,,,,,ALL,Online,,TRUE,A free online course that will help prepare for the academic transition to SFU.,A free online course that will help prepare for the academic transition to SFU.,1,1,https://www.sfu.ca/students/newundergrads/after-you-accept/fall/orientation/university-prep.html,,SFU 101 was very easy to sign up for and because it had online modules it was easy to use.
Work - Study Program,,,TRUE,TRUE,,,,,,TRUE,,,,ALL,In Person,,TRUE,"The Work-Study Program is an opportunity to participate in research-based projects and earn a supplemental income. You will also gain valuable experience connecting with various members of the SFU community and build your co-curriculum record. Because a student’s first commitment is to his/her studies, Work-Study hours are flexible, on campus and supervised.",Get paid by helping other students by participating in their research-based projects.,,,https://www.sfu.ca/students/financialaid/undergrad/work-study.html,,Fits right into class schedules. Easy to manage.
WriteAway,,,,,,TRUE,TRUE,TRUE,TRUE,,,,,ALL,online,,TRUE,WriteAway supports undergraduate students at participating institutions with formative feedback on their writing assignments. Qualified tutors from each of the participating institutions provide advice and suggest resources to help students improve their writing. Tutors try to respond to papers within 48 hours.,Writing exports give feedback on writing assignments.,0,4,https://writeaway.ca/,,
Statista,,,,,,TRUE,TRUE,TRUE,,,,,,ALL,online,,,"A simple to use statistics portal that integrates statistics from thousands of sources, on topics related to business, media, public policy, health and others. Statistics can be exported in PPT, XLS, PDF, and PNG formats.",Database full of free statistics.,0,0,https://databases.lib.sfu.ca/record/61245146000003610/Statista,0,
Assignment Calculator,,,,,,TRUE,,,,,,,,ALL,online,,,"Ever wonder how lonng that 10 page research paper you have due at the end of the month is going to take to complete? Plan accordingly with the Assignment Calcualtor which sets out a plan of action, to help you complete your assignment stress free.  ",Calculate how long assignments will take you.,0,4,https://calculator.lib.sfu.ca/,,
SFU Snap,,,,,,TRUE,,,,,,TRUE,TRUE,ALL,online,,TRUE,"Created by students, for students, SFU snap provides students with the information they need to easily plan their campus experience. Access personalized information including course schedules, exams, and upcoming Canvas assignments plus your library record. Also find room locations, consult transit schedules, and explore campus services like dining and parking.",An app for your phone that gives you information around campas.,0,8,http://www.sfu.ca/apps.html,,
Student Health Insurance,,,,,TRUE,,,,,,,,,ALL,online,,,"Keep on top of your medical expenses and claims by using the student health insurance. Download the insurance companies app and submit claims easily on line. 

POLICY NUMBERS
Health, Dental, and Vision - 79209
insured by Pacific Blue Cross
Travel - 97180
administered by Blue Cross Life Insurance Company of Canada",Mitigate all medical expenses with free healthcare.,0,8,https://www.pac.bluecross.ca/mobile,,
Change Lab,TRUE,,,,,,,,,,,,,ALL,"Online, In person",,TRUE,"Change Lab is a once-in-a-degree experiential learning program open to students from all faculties.

Undergraduate students from a variety of academic backgrounds work together in interdisciplinary teams to investigate a real social, economic, and environmental challenge facing our local community. Together, they build a sustainable intervention to creatively respond to it and present their ideas to community influencers – all in just 13 weeks.",Work as a team from multiple departments to investigate a challange in the community.,2,4,https://radiussfu.com/programs/sfu-student-programs/change-lab/,change-lab@radiussfu.com,Change Lab was an incredible experience that exposed me to a lot of complexities around health and the real world.
